zip,state,value,latitude,longitude,county
10038,new york,24051,40.709677,-74.00365,new york
12432,new york,0,41.949795,-74.003246,ulster
11231,new york,41822,40.6788,-74.00254,kings
10923,new york,0,41.204544,-74.00161,rockland
7723,new jersey,7500,40.250104,-74.00153,monmouth
7022,new jersey,0,40.816737,-74.00082,bergen
10199,new york,0,40.750308,-74.00058,new york
10011,new york,412795,40.741012,-74.00012,new york
7621,new jersey,15450,40.923748,-73.99879,bergen
12456,new york,0,42.034256,-73.99876,ulster
12449,new york,0,41.993639,-73.99843,ulster
10012,new york,112733,40.72596,-73.99834,new york
10001,new york,67020,40.750742,-73.99653,new york
12528,new york,0,41.713682,-73.9965,ulster
11219,new york,14100,40.632449,-73.99629,kings
11214,new york,11215,40.598994,-73.99611,kings
7760,new jersey,14300,40.369145,-73.99576,monmouth
10956,new york,23745,41.145495,-73.9949,rockland
7650,new jersey,4000,40.845742,-73.99479,bergen
7628,new jersey,0,40.945173,-73.99342,bergen
10018,new york,52405,40.755101,-73.99337,new york
10119,new york,2650,40.750824,-73.99289,new york
12913,new york,0,44.421547,-73.99256,franklin
12487,new york,0,41.855761,-73.99207,ulster
10922,new york,0,41.334557,-73.99175,orange
11224,new york,1000,40.576589,-73.99172,kings
7740,new jersey,14800,40.297932,-73.99097,monmouth
10069,new york,60414,40.775477,-73.9905,new york
7732,new jersey,0,40.404474,-73.9904,monmouth
10036,new york,131194,40.759511,-73.99019,new york
7010,new jersey,3050,40.82154,-73.98949,bergen
12306,new york,2000,42.793326,-73.98942,albany
10003,new york,269579,40.732509,-73.98935,new york
12417,new york,0,41.907604,-73.989254,ulster
11201,new york,167248,40.695286,-73.98907,kings
12955,new york,0,44.787489,-73.98702,franklin
10002,new york,22691,40.71704,-73.987,new york
10986,new york,0,41.271543,-73.98676,rockland
7641,new jersey,13500,40.958573,-73.98659,bergen
11215,new york,42669,40.667508,-73.9856,kings
10019,new york,555102,40.765714,-73.9856,new york
7605,new jersey,2500,40.862685,-73.98551,bergen
11204,new york,36650,40.618944,-73.98473,kings
12542,new york,500,41.603333,-73.98415,ulster
